,x,y,rate,kmeans,labels
RN25O2-->RN24AO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN21O2-->CARB11+C2H5CHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN32O2-->RN31O2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RN26O2-->RN25O2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RI14O2-->CH3COCH3+CH3CO3,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RN19AO2-->RN18O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RI16AO2-->RI13O2+HCHO,121.0354232788086,-105.78775787353516,(1.30D-12*RO2),1,9
RN24AO2-->CARB22+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN14O2-->C2H5CO3+CH3CHO,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
NRN12O2-->2CH3CHO+NO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN22AO2-->RN21O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
IC3H7O2-->CH3COCH3,104.99574279785156,-91.15502166748047,(4.00D-14*0.2*RO2),1,13
CH3O2-->HCHO,115.45861053466797,-100.69929504394531,(2*KCH3O2*RO2*0.5*(1-7.18*EXP(-885/TEMP))),1,4
RI12O2-->CH3COCH3+HCHO+HO2,118.94712829589844,-103.88227081298828,(6.70D-13*RO2),1,2
RN24O2-->2CARB11+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RU14O2-->UCARB12+HO2,113.68242645263672,-99.078857421875,(1.26D-12*RO2*0.1),1,8
RA19CO2-->UDCARB14+CARB3+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
PPN-->C2H5CO3+NO2,120.76854705810547,-109.73355865478516,(KBPAN),1,3
NRUA20O2-->BENZAL+HCHO+NO2,115.57853698730469,-100.80875396728516,(2.30D-13*RO2),1,4
MACO3-->HCHO+CH3CO3+HO2,124.15562438964844,-108.63491821289062,(1.00D-11*RO2*0.35),1,0
RI17O2-->CH3COCH3+RN8O2,104.4369125366211,-90.64537811279297,(6.70D-15*RO2),1,5
RA22AO2-->UDCARB14+CARB6+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RTN14O2-->TNCARB10+HCHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RI19O2-->IC3H7O2+CH3COCH3,118.94712829589844,-103.88227081298828,(6.70D-13*RO2),1,2
RC18O2-->CYHEXONE+HO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN15O2-->C2H5CHO+CH3CHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RA13O2-->UDCARB8+CARB3+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN12O2-->2CH3CHO+HO2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN34AO2-->RN33O2,119.80612182617188,-104.66602325439453,(8.80D-13*RO2),1,2
RN17O2-->RN16AO2,121.26889038085938,-106.00080108642578,(1.40D-12*RO2),1,9
RN16O2-->RN15AO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RTN26PAN-->RTN26O2+NO2,120.76854705810547,-109.73355865478516,(KBPAN),1,3
RI13O2-->CH3COCH3+CH3O2,118.94712829589844,-103.88227081298828,(6.70D-13*RO2),1,2
RN19BO2-->RN18AO2,115.84123992919922,-101.04840850830078,(2.50D-13*RO2),1,4
RN12OOH-->2CH3CHO+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
RA19OOH-->UDCARB11+CARB6+HO2+OH,-22.541893005371094,-66.92243194580078,(J(41)),2,1
