,0,1,2,3
5457,C821O,CO,0,KDEC
5458,C821O,CO2C3CHO,0,KDEC
5459,C821O2,C821O,[],[]
5460,C821O2,C821OOH,0,RO2HO2
5461,C821OOH,C821O,0,hv
5462,C821OOH,C821O2,0,OH
5463,C822CO2,C822O2,0,KDEC
5464,C822CO2,C823CO3,0,KDEC
5465,C822CO2H,C822CO2,0,OH
5466,C822CO3,C822CO2,[],[]
5467,C822CO3,C822CO2H,[],[]
5468,C822CO3,C822CO3H,0,HO2
5469,C822CO3,C822PAN,0,NO2
5470,C822CO3H,C822CO2,0,hv
5471,C822CO3H,C822CO3,0,OH
5472,C822NO3,C729CHO,0,OH
5473,C822NO3,C822O,0,hv
5474,C822O,C824O2,0,KDEC
5475,C822O2,C729CHO,0,RO2
5476,C822O2,C822NO3,0,RO2NO
5477,C822O2,C822O,[],[]
5478,C822O2,C822OH,0,RO2
5479,C822O2,C822OOH,0,RO2HO2
5480,C822OH,C729CHO,0,OH
5481,C822OOH,C729CHO,0,OH
5482,C822OOH,C822O,0,hv
5483,C822PAN,C729CHO,0,OH
5484,C822PAN,C822CO3,0,KBPAN
5485,C822PAN,CO,0,OH
5486,C8236CO,C2H5CO3,0,hv
5487,C8236CO,C6DCARBBO2,[],[]
5488,C8236CO,CH3CO3,[],[]
5489,C8236CO,CO,0,hv
5490,C8236CO,CO23C3CHO,0,hv
5491,C823CO,C825O2,[],[]
5492,C823CO3,C823CO3H,0,HO2
5493,C823CO3,C823O2,[],[]
5494,C823CO3,C823PAN,0,NO2
5495,C823CO3,LIMONIC,[],[]
5496,C823CO3H,C823CO3,0,OH
5497,C823CO3H,C823O2,0,hv
5498,C823NO3,C823CO,0,OH
5499,C823NO3,C823O,0,hv
5500,C823O,C825O2,0,KDEC
5501,C823O2,C823CO,0,RO2
5502,C823O2,C823NO3,0,RO2NO
5503,C823O2,C823O,[],[]
5504,C823O2,C823OH,0,RO2
5505,C823O2,C823OOH,0,RO2HO2
5506,C823OH,C823CO,0,OH
5507,C823OOH,C823CO,0,OH
5508,C823OOH,C823O,0,hv
5509,C823PAN,C823CO,0,OH
5510,C823PAN,C823CO3,0,KBPAN
5511,C823PAN,CO,0,OH
5512,C824CO,C624CO3,[],[]
5513,C824CO,CO,[],[]
5514,C824O,C624CHO,0,KDEC
5515,C824O,CO,0,KDEC
5516,C824O2,C824CO,0,RO2
5517,C824O2,C824O,[],[]
5518,C824O2,C824OH,0,RO2
5519,C824O2,C824OOH,0,RO2HO2
5520,C824OH,C824CO,0,OH
5521,C824OOH,C824CO,0,OH
5522,C824OOH,C824O,0,hv
5523,C825CO,C622CO3,[],[]
5524,C825O,C622CHO,0,KDEC
5525,C825O2,C825CO,0,RO2
5526,C825O2,C825O,[],[]
