,x,y,count,mean,std,min,25%,50%,75%,max
RC18O2,-0.16995211,-0.4960686,432.0,2.961729105590426,0.7037664890276261,1.4720661332713412,2.4988918642745652,3.0619977189568823,3.5003526127483386,4.033682999137884
RC18OOH,0.60883856,-0.704605,432.0,4.888868894373075,0.06129111380467359,4.7117794149568635,4.866517561065125,4.919821209169028,4.92970167887152,4.934621941289255
RCOOH25,-0.3763649,-0.5038178,432.0,4.927536113322782,0.012134959265473753,4.889169917968596,4.924231067129705,4.9333620050014915,4.935230318673218,4.936158966838504
RE12NO3,0.3762654,-0.54081297,432.0,4.925092832102604,0.015530828602955194,4.877465625585286,4.9205436654644075,4.932847129810037,4.935013084758746,4.936100390474654
RE12O2,0.14653647,-0.62596864,432.0,2.842076081631051,0.6243270852899114,1.4871454037202148,2.41842112896801,2.8911345023284727,3.3007428225691884,3.8395066995250517
RE15NO3,0.5011766,-0.62096524,432.0,4.933393076431868,0.004529326131505982,4.920162292879041,4.9324671238702535,4.935778070454244,4.93622784255224,4.936436909176638
RE15O2,-0.49384063,-0.34788325,432.0,2.650593954939349,0.5494479890388682,1.4616329903317118,2.261637461580232,2.6557899763411577,3.0366688330978318,3.5815249003631418
RE18NO3,0.14471796,-0.6117372,432.0,4.934596463919514,0.0029782748488057496,4.926161736149132,4.934127398271718,4.936214186415221,4.936399458123905,4.9364842362313
RE18O2,0.16683166,-0.6281103,432.0,2.6398538077787386,0.5509265426777101,1.452196153563277,2.2454936098488503,2.643377833377129,3.0285207456695673,3.5738771724742917
RE6O2,-0.5271813,-0.34213725,432.0,2.7091354970570274,0.541124417569035,1.5119948649309458,2.3351955767053587,2.7159212261831973,3.08522925008296,3.621792015206937
RI11O2,0.05674828,-0.6137669,432.0,2.747607964728043,0.5815675545264892,1.4809352025229179,2.3398337750492564,2.7696185093565884,3.165946875224608,3.706686824291765
RI11OOH,-0.39238006,-0.49756095,432.0,4.9221150060822465,0.020744234050212574,4.8643446479487045,4.916611791719339,4.933401658426705,4.9352968407401825,4.936179927273286
RI12NO3,0.38254344,-0.68129396,432.0,4.935341609248968,0.001610421445279083,4.930183921385178,4.934930413858883,4.936112972327221,4.9363522823115895,4.936470898084871
RI12O2,-0.041948363,-0.5844981,432.0,2.8898885683119158,0.6474616209054577,1.4896787759920116,2.4546800707564014,2.9554314322390725,3.3680331613165233,3.90727452356756
RI12OOH,0.115584426,-0.60570806,432.0,4.9198022049761345,0.023632619094506292,4.853419760318822,4.91367396598695,4.932490344132358,4.934938994796168,4.936081045888113
RI13NO3,0.24275,-0.636537,432.0,4.935451985202286,0.001788337369533178,4.930303085339265,4.935425474064583,4.936403068256109,4.936473000549672,4.936504513149902
RI13O2,-0.81199723,-0.118164144,432.0,2.8898885694437655,0.6474616195084697,1.4896787805967282,2.4546800736656964,2.955431432241533,3.3680331613220846,3.907274523572952
RI13OOH,0.19394848,-0.6356833,432.0,4.922673034566814,0.020049742483682367,4.866998348418637,4.917302674505689,4.933616539877994,4.935382456298884,4.9362035761578325
RI14O2,-0.8240966,-0.12880412,432.0,2.731002933321712,0.5828565861766829,1.4684922348142044,2.3206987441984976,2.7536868942753916,3.152149327195302,3.693851839917488
RI14OOH,0.1744725,-0.62569064,432.0,4.910463517146901,0.035282561516328234,4.809401989860023,4.899316361233833,4.928811977419333,4.9334446778655145,4.935667492854384
RI15NO3,0.29546583,-0.45254922,432.0,4.934691584909076,0.0024983927472679106,4.926698774589159,4.934050091030498,4.935888525380325,4.936260900772213,4.936445513712065
RI15O2,0.023204232,-0.60926545,432.0,2.867164495559623,0.6463724871594316,1.4769863955589335,2.429222202578353,2.9304823437235155,3.345866721193304,3.8870778943660467
RI15OOH,-0.060740333,-0.5672158,432.0,4.909522638760081,0.03644666684287504,4.804934176225565,4.897893447588433,4.928425486761737,4.933289718599018,4.935624548879456
RI16AO2,-0.6343296,-0.25883725,432.0,2.746570561545162,0.5896897131098588,1.4696460375755662,2.331891810893952,2.772334783893558,3.1747770613297868,3.715760420088373
RI16NO3,-0.5863169,-0.31670249,432.0,4.934428208702074,0.003084097526772133,4.92525582878956,4.933910761252582,4.936041023579954,4.93632787838602,4.936464498071337
RI16O2,-0.83704567,-0.096403725,432.0,2.8671644971883463,0.646372485136684,1.4769864022953327,2.4292222067112226,2.930482343724681,3.3458667211959496,3.8870778943686215
RI16OOH,0.04868972,-0.56194806,432.0,4.9146430907470355,0.030084988891497206,4.8291653649522885,4.905616145635918,4.930417307076921,4.934123275507603,4.9358554226890385
RI17O2,0.083757445,-0.5918544,432.0,3.051586533059818,0.7540888407394204,1.47490203464,2.53408614411368,3.187833781614409,3.6371091597822014,4.16548247180832
RI17OOH,-0.20991427,-0.5188791,432.0,4.92385895872116,0.0185791007449449,4.872649112974982,4.918743592398477,4.9340586998194755,4.9355634720140555,4.936253565538027
RI19O2,-0.49724793,-0.043277483,432.0,2.8500426354648263,0.645571214320256,1.4672137671529082,2.4101124566995793,2.911737529947657,3.329119054410537,3.8717588089056503
RN10NO3,0.44276047,-0.6323986,432.0,4.933982898644162,0.0039408900695654175,4.923008441229506,4.933239468860091,4.9361452692123855,4.9363741015540255,4.936477244409909
RN10O2,-0.54408747,-0.5217655,432.0,2.937298578057762,0.6623376232193158,1.495157820633884,2.5083885971271256,3.0140716949687603,3.427156785233222,3.9618053090121754
RN10OOH,0.591546,-0.70312816,432.0,4.906846353303641,0.03974411842247547,4.792339461633248,4.893853510904334,4.927375005030431,4.932844518446634,4.935501108600011
RN11O2,-0.833149,-0.37092495,432.0,2.747607964728043,0.5815675545264892,1.4809352025229179,2.3398337750492564,2.7696185093565884,3.165946875224608,3.706686824291765
RN11OOH,0.6062261,-0.5982877,432.0,4.899943868900129,0.0481452677821558,4.760604069181721,4.882788171831246,4.924499014902867,4.931665975760791,4.935173893332921
RN12NO3,0.5849084,-0.6234052,432.0,4.934047065517022,0.0033767412570568337,4.923255965151343,4.933175267914947,4.935665144681567,4.936169925544727,4.936420238374365
RN12O2,-0.47588688,-0.55462027,432.0,2.8420760834013383,0.6243270831314893,1.4871454109789337,2.4184211305361805,2.891134502328476,3.3007428225691933,3.839506699525054
RN12OOH,0.38560358,-0.5862052,432.0,4.891812661429082,0.05783764685306416,4.724518264142621,4.871279791446805,4.921122296247269,4.9302383442874245,4.93477191709066
RN13AO2,-1.1265297,-0.013245332,432.0,2.8420760828112424,0.6243270838509634,1.4871454085593607,2.418421130013457,2.891134502328475,3.300742822569192,3.839506699525053
RN13NO3,0.22698517,-0.60847294,432.0,4.933723337017879,0.004265468624453136,4.921729810572185,4.932896756240421,4.936053034441983,4.936337044614769,4.936467025796507
RN13O2,-0.8113251,-0.38479832,432.0,3.015214815262383,0.7124331940851631,1.494790258665936,2.56686086857444,3.125328464574073,3.559402533573092,4.086251688350566
RN13OOH,0.23921785,-0.6202477,432.0,4.888452211738236,0.06177756552062574,4.709989703009738,4.865849154874956,4.919635657397812,4.9296250664911465,4.934600520402017
RN14O2,-1.3201523,0.06860243,432.0,2.7310029311165116,0.5828565887794677,1.4684922255427015,2.3206987429394803,2.753686894273855,3.152149327191964,3.693851839914189
RN14OOH,0.11432186,-0.6036894,432.0,4.892343398783061,0.05721187686721365,4.726832906892854,4.8720521985317875,4.92135504398715,4.930334247221474,4.934798703934613
RN15AO2,-1.2788363,-0.093397,432.0,2.821699079797376,0.6242454626461388,1.4745257958204079,2.3962135851241984,2.869674610685629,3.2818721713096526,3.8221705905448298
RN15NO3,0.50803804,-0.6735672,432.0,4.922818128908507,0.01835491397278843,4.865221735252549,4.91763279255523,4.9316402766119785,4.934525981126276,4.935962847689115
RN15O2,-0.85334176,-0.3417069,432.0,2.8216990821984598,0.6242454597047921,1.474525805809087,2.3962135872572476,2.869674610685633,3.2818721713096592,3.822170590544833
RN15OOH,0.09942674,-0.6011758,432.0,4.886691801711821,0.06382625368308832,4.702464650074349,4.862954064874824,4.91884794567655,4.929299614566772,4.934509493416563
RN16AO2,-0.49182847,-0.38687885,432.0,2.821699081633499,0.6242454603968737,1.4745258034588096,2.3962135867553536,2.869674610685632,3.2818721713096575,3.8221705905448324
RN16NO3,0.23258281,-0.606424,432.0,4.932459175279685,0.005889605318963,4.91545174240998,4.931269832434497,4.935593657186277,4.936155706251125,4.936417011841387
RN16O2,-0.61411613,-0.48248792,432.0,2.9844788557013997,0.7073720207613984,1.4819498306626833,2.527589864060137,3.088723425143259,3.525432200439713,4.056105445272094
RN16OOH,0.29519847,-0.6511352,432.0,4.881910294265646,0.06933819570798058,4.6823140879662395,4.854840873788296,4.916876039614827,4.928401102882238,4.9342579298192675
RN17O2,-0.83329713,-0.375195,432.0,2.718345876685336,0.583816507600536,1.458906801695437,2.306161883887438,2.7394617021024685,3.14154932855072,3.6839722328060986
RN17OOH,0.39556608,-0.66865396,432.0,4.890755833419841,0.05908085063095832,4.719925661899,4.869552720744308,4.920657174666925,4.930046601929375,4.9347183483588015
RN18AO2,-1.1568965,-9.4939955e-05,432.0,2.806272890040037,0.6241802048737539,1.4648077766582803,2.3794461592598766,2.85344004563175,3.2675210579830236,3.80894611145338
RN18NO3,0.48308495,-0.66149884,432.0,4.918917326714745,0.023420495899499263,4.845870409069958,4.912106445685124,4.930183328132898,4.933928672403443,4.935796350263407
