,CH3NO3,CH3OH,O1D,O3,NO2,NO3,N2O5,H2O2,TEMP,NO,NA,CH4,HO2NO2,LMP2,PRESS,LMP1,HSO3,CO,CL,O,HNO3,SO3,SO2,HO2,OH,H2,HONO,H2O,TIME,CH3OOH,SA
49,0.0,0.0,0.00351603649025,1.13425978705e+11,14278473578.1,203267.12351,79956.5104025,0.0,298.0,18797916406.8,33385484330.9,2.11834894587e+11,424856.588676,0.0,1013.0,1350080735.14,0.0,1.07985892663e+11,0.0,783.07561065,1.16710367787e+11,0.0,0.0,2452680.99456,3434602.17833,1.2229052119e+13,2175480842.35,2.46220332744e+17,15877851.84,0.0,0.0
50,0.0,0.0,0.00164127020292,1.09895694216e+11,17570623082.7,212317.838364,102434.115537,0.0,298.0,15307901386.9,34642811517.3,2.11828832335e+11,319266.562564,0.0,1013.0,1356142986.72,0.0,1.07875138939e+11,0.0,571.272392207,1.1605941366e+11,0.0,0.0,1497702.10513,1710124.6265,1.22286841352e+13,1767024882.01,2.46220332744e+17,15879651.84,0.0,0.0
51,0.0,0.0,0.000678359218915,1.05580532145e+11,21695844202.7,291433.380408,173031.115155,0.0,298.0,11093292648.5,35891847855.6,2.11825952445e+11,242464.173494,0.0,1013.0,1359022877.27,0.0,1.07822563752e+11,0.0,345.621756456,1.15175790152e+11,0.0,0.0,921236.03784,763814.910204,1.22285093236e+13,1490856163.19,2.46220332744e+17,15881451.84,0.0,0.0
52,0.0,0.0,0.000244199120006,1.00954841335e+11,26202535102.3,539101.287444,385206.695673,0.0,298.0,6551380357.03,37130585339.6,2.11824742011e+11,187567.762291,0.0,1013.0,1360233310.59,0.0,1.07800473556e+11,0.0,154.623685803,1.14129087163e+11,0.0,0.0,590130.440689,289607.954062,1.22284358494e+13,1333425937.43,2.46220332744e+17,15883251.84,0.0,0.0
53,0.0,0.0,0.0,96000982791.2,31102969308.2,2283061.70397,1885509.74206,0.0,298.0,1634977865.64,38358114934.6,2.11824391794e+11,1584.12192888,0.0,1013.0,1360583528.0,0.0,1.07794082971e+11,0.0,0.0,1.12968403009e+11,0.0,0.0,3696.82654129,115.087057829,1.22284145909e+13,1277990199.11,2.46220332744e+17,15885051.84,0.0,0.0
54,0.0,0.0,0.0,94358154733.0,32599128422.5,29048053.7317,25506364.6126,0.0,298.0,50537733.0808,39585880408.1,2.11824391774e+11,21.7187407214,0.0,1013.0,1360583548.49,0.0,1.07794082597e+11,0.0,0.0,1.1175491334e+11,0.0,0.0,54.6914482709,0.0873533804678,1.22284145897e+13,1277990273.52,2.46220332744e+17,15886851.84,0.0,0.0
55,0.0,0.0,0.0,94132722769.1,32376793069.2,98137825.134,86942730.6332,0.0,298.0,616986.886596,40866632904.2,2.11824391773e+11,12.8683128526,0.0,1013.0,1360583548.61,0.0,1.07794082595e+11,0.0,0.0,1.10554454449e+11,0.0,0.0,32.6716414941,0.0415512546209,1.22284145897e+13,1277990272.85,2.46220332744e+17,15888651.84,0.0,0.0
56,0.0,0.0,0.0,93939184003.3,32064087799.6,152999632.705,134867450.277,0.0,298.0,569345.528666,42216238276.6,2.11824391773e+11,6.48007935228,0.0,1013.0,1360583548.7,0.0,1.07794082593e+11,0.0,0.0,1.09366890748e+11,0.0,0.0,16.5813585237,0.0290899112077,1.22284145897e+13,1277990272.36,2.46220332744e+17,15890451.84,0.0,0.0
57,0.0,0.0,0.0,93747812390.3,31744764375.5,190460646.02,166493282.143,0.0,298.0,601438.668296,43609623965.9,2.11824391773e+11,2.73837081808,0.0,1013.0,1360583548.75,0.0,1.07794082592e+11,0.0,0.0,1.08192083716e+11,0.0,0.0,7.06832515636,0.0147921902874,1.22284145897e+13,1277990272.06,2.46220332744e+17,15892251.84,0.0,0.0
58,0.0,0.0,0.0,93558671810.7,31422430563.4,216009265.444,187059571.476,0.0,298.0,614547.486888,45027450863.6,2.11824391773e+11,1.02720109725,0.0,1013.0,1360583548.78,0.0,1.07794082592e+11,0.0,0.0,1.07029896326e+11,0.0,0.0,2.67625633096,0.00623823656621,1.22284145897e+13,1277990271.92,2.46220332744e+17,15894051.84,0.0,0.0
59,0.0,0.0,0.0,93371798070.7,31099335440.4,233414484.162,200143477.023,0.0,298.0,619238.220986,46456671572.4,2.11824391773e+11,0.355283119955,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.0588019302e+11,0.0,0.0,0.934722172311,0.00233752984717,1.22284145897e+13,1277990271.87,2.46220332744e+17,15895851.84,0.0,0.0
60,0.0,0.0,0.0,93187196552.4,30776990037.8,245244079.777,208163361.43,0.0,298.0,619553.115845,47888500617.3,2.11824391773e+11,0.116310643883,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.04742839699e+11,0.0,0.0,0.30908405561,0.000810859774242,1.22284145897e+13,1277990271.85,2.46220332744e+17,15897651.84,0.0,0.0
61,0.0,0.0,0.0,93004857246.8,30456405787.8,253249556.797,212755558.535,0.0,298.0,617386.186781,49317033161.3,2.11824391773e+11,0.0366883947843,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.03617703701e+11,0.0,0.0,0.0984951480616,0.000267281860065,1.22284145897e+13,1277990271.84,2.46220332744e+17,15899451.84,0.0,0.0
62,0.0,0.0,0.0,92824761401.5,30138255539.6,258627806.028,215028002.663,0.0,298.0,613737.04363,50738313833.1,2.11824391773e+11,0.0112876331669,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.02504653789e+11,0.0,0.0,0.0306175475589,8.51620629826e-05,1.22284145897e+13,1277990271.84,2.46220332744e+17,15901251.84,0.0,0.0
63,0.0,0.0,0.0,92646885054.1,29822981834.6,262198141.988,215731867.129,0.0,298.0,609177.905967,52149707685.4,2.11824391773e+11,0.00341576745041,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.01403560136e+11,0.0,0.0,0.00936204708553,2.65300610293e-05,1.22284145897e+13,1277990271.84,2.46220332744e+17,15903051.84,0.0,0.0
64,0.0,0.0,0.0,92471201103.7,29510870327.9,264522475.06,215377184.651,0.0,298.0,604054.485545,53549475174.2,2.11824391773e+11,0.00102258709506,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,1.00314294309e+11,0.0,0.0,0.00283216516909,8.14341689727e-06,1.22284145897e+13,1277990271.84,2.46220332744e+17,15904851.84,0.0,0.0
65,0.0,0.0,0.0,92297680595.1,29202099661.9,265986921.916,214310785.174,0.0,298.0,598583.559324,54936484716.9,2.11824391773e+11,0.000304073796617,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,99236729255.1,0.0,0.0,0.000851030026011,2.475981308e-06,1.22284145897e+13,1277990271.84,2.46220332744e+17,15906651.84,0.0,0.0
66,0.0,0.0,0.0,92126293540.3,28896775430.1,266857316.722,212768875.146,0.0,298.0,592904.607143,56310018022.1,2.11824391773e+11,9.00599311328e-05,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,98170739285.9,0.0,0.0,0.000254712870559,7.48408914779e-07,1.22284145897e+13,1277990271.84,2.46220332744e+17,15908451.84,0.0,0.0
67,0.0,0.0,0.0,91957009454.4,28594953358.8,267317035.774,210912552.028,0.0,298.0,587108.985614,57669638039.0,2.11824391773e+11,2.66194054347e-05,0.0,1013.0,1360583548.79,0.0,1.07794082591e+11,0.0,0.0,97116200063.1,0.0,0.0,7.60803684008e-05,2.25461661041e-07,1.22284145897e+13,1277990271.84,2.46220332744e+17,15910251.84,0.0,0.0
