,x,y,group
C817O2,-0.7147033,-4.8365884,-1
DM124OHNO2,-0.8063715,-5.5687475,-1
TOL4OHNO2,-0.80284196,-5.499489,-1
C6CO2OHCO3,-0.578045,-3.5768068,44
C5CO2OHCO3,-0.5865898,-3.658693,44
C7OHCO2CO3,-0.5784969,-3.5607480000000002,44
IPEBO2,-1.8254637999999999,0.34870854,-1
MIPKBOH,-1.7316886999999999,0.26695183,-1
C23O3EO2,-1.1138624,0.097984806,26
CO23C54O2,-1.3932327,0.19034934,31
MXYL1O2,-0.7567128000000001,-5.3264055,-1
C23O3MO2,-1.1133633,0.10281289,26
DM124O2,-0.7765566999999999,-5.3474107,-1
PXYL1O2,-0.7831791,-5.190765,-1
MTBEACHO,-2.3256307,0.44266698,39
EPXMC4DIAL,-0.6790198000000001,-0.41065603,6
C721O2,-1.6829004,0.34780174,36
NCRES1O,-6.8185934999999995,-43.385445000000004,-1
MIPKAO2,-1.7244671999999999,0.31490186,-1
CO2C54O2,-1.8682474999999998,0.36642495,-1
CH2BRO2,-0.76942617,-5.067271,-1
MIPKBO2,-1.6182333,0.27762154,35
HO2CO4C5,-1.7084645,0.27998558,-1
C923O2,-0.7201554,-4.7883569999999995,-1
EMPHCO3,-0.64023733,-0.5071405999999999,-1
C914O2,-1.3483301,-6.07656,-1
NO,-0.5997958000000001,-0.19410144,-1
C5PAN16,-0.93499845,-0.036447592,-1
CO3H4CO3,-0.59152335,-3.3932742999999994,43
H2M3C4O2,-1.625895,0.2850665,35
C132O,-7.375317,-44.137159999999994,-1
C5CODBCO2H,-0.65178317,-0.47591272,-1
C5134CO2OH,-0.64353603,-0.46988409999999997,13
C5CO14OH,-0.6197107,-0.4762616,-1
C1212O2,-1.2664398000000001,-8.725287,55
HCOCO3,-0.72159433,-0.5313034000000001,-1
HOEMPHNO2,-1.1073171,0.095183216,26
C139O2,-1.2716323999999999,-8.79491,55
PIPN,-0.81246126,-0.25180772,-1
MECOACEOOH,-33.769740000000006,6.6108575,-1
HO2C3CO3,-1.2177042,0.11960430000000001,-1
NOPINCO2,-1.3198118,0.21633194,-1
HM33C3O2,-1.5368524,0.24430276,33
CLETAL,-1.7227756,0.36050215,-1
CH3SO,-0.73426807,-0.24776402,15
C517O2,-0.72471243,-4.2547793,46
C116CO3,-0.75002515,-3.7714815,-1
C7DDICARB,-0.7113522,-0.36553320000000006,-1
NO3CH2PAN,-0.72058105,-0.33410674,11
