C63O,OCC([O])CC(=O)CC
C63NO3,CCC(=O)CC(CO)ON(=O)=O
CO3C4CHO,CCC(=O)CC=O
C63OOH,OCC(OO)CC(=O)CC
C63OH,OCC(O)CC(=O)CC
HO1CO24C6,CCC(=O)CC(=O)CO
CO35C5CHO,CCC(=O)CC(=O)C=O
CO3C4CO3,CCC(=O)CC(=O)O[O]
CO3C4CO3H,CCC(=O)CC(=O)OO
CO3C4CO2H,CCC(=O)CC(=O)O
CO3C5CO3,CCC(=O)CCC(=O)O[O]
C6PAN2,CCC(=O)CCC(=O)OON(=O)=O
CO3C5CO3H,CCC(=O)CCC(=O)OO
CO3C5CO2H,CCC(=O)CCC(=O)O
NEOP,CC(C)(C)C
NEOPO2,[O]OCC(C)(C)C
NEOPO,[O]CC(C)(C)C
NEOPNO3,O=N(=O)OCC(C)(C)C
NEOPOOH,OOCC(C)(C)C
NEOPOH,OCC(C)(C)C
TBUTCHO,O=CC(C)(C)C
TBUTCO3,[O]OC(=O)C(C)(C)C
TBUTCO3H,OOC(=O)C(C)(C)C
C5PAN6,O=N(=O)OOC(=O)C(C)(C)C
M2PE,CCCC(C)C
M2PEAO2,CCCC(C)CO[O]
M2PEAO,CCCC(C)C[O]
M2PEANO3,CCCC(C)CON(=O)=O
HO1MC5O2,OCC(C)CC(C)O[O]
HO1MC5O,OCC(C)CC(C)[O]
HO1MC5NO3,OCC(C)CC(C)ON(=O)=O
HO2C54CHO,CC(CC(C)O)C=O
M2PEAOOH,CCCC(C)COO
M2PEAOH,CCCC(C)CO
C54CHO,CC(CCC)C=O
HO1MC5OOH,OCC(C)CC(C)OO
C54CO3,CC(CCC)C(=O)O[O]
C6PAN3,CCCC(C)C(=O)OON(=O)=O
C54CO3H,CC(CCC)C(=O)OO
HO2C54CO3,[O]OC(=O)C(C)CC(C)O
HO2C54O2,[O]OC(C)CC(C)O
HO2C54O,CC(O)CC(C)[O]
HO2C54NO3,CC(O)CC(C)ON(=O)=O
HO24C5O2,[O]OCC(O)CC(C)O
HO24C5O,[O]CC(O)CC(C)O
HO24C5NO3,CC(O)CC(O)CON(=O)=O
C6PAN4,CC(O)CC(C)C(=O)OON(=O)=O
HO2C54CO3H,OOC(=O)C(C)CC(C)O
HO2C54CO2H,CC(O)CC(C)C(=O)O
HO2C54OOH,OOC(C)CC(C)O
HO24C5,CC(O)CC(C)O
HO2CO4C5,CC(O)CC(=O)C
HO24C5OOH,OOCC(O)CC(C)O
HO24C4CHO,CC(O)CC(O)C=O
HO124C5,OCC(O)CC(C)O
HO24C4CO3,[O]OC(=O)C(O)CC(C)O
C5PAN10,CC(O)CC(O)C(=O)OON(=O)=O
HO24C4CO3H,OOC(=O)C(O)CC(C)O
M2PEBO2,[O]OC(C)CC(C)C
M2PEBO,CC(C)CC(C)[O]
M2PEBNO3,CC(C)CC(C)ON(=O)=O
MIBK,CC(C)CC(=O)C
HO2MC5O2,[O]OCC(C)CC(C)O
HO2MC5O,[O]CC(C)CC(C)O
HO2MC5NO3,CC(O)CC(C)CON(=O)=O
CO2MC5OH,CC(CC(=O)C)CO
M2PEBOOH,OOC(C)CC(C)C
M2PEBOH,CC(C)CC(C)O
HO2MC5OOH,OOCC(C)CC(C)O
HO14MC5,OCC(C)CC(C)O
C64O2,OCC(C)(O[O])CC(=O)C
CO2C54CHO,O=CC(C)CC(=O)C
C64O,CC([O])(CC(=O)C)CO
C64NO3,OCC(C)(CC(=O)C)ON(=O)=O
C64OOH,OCC(C)(OO)CC(=O)C
C64OH,CC(O)(CC(=O)C)CO
CO2C54CO3,CC(CC(=O)C)C(=O)O[O]
C65O2,[O]OC(C)(C=O)CC(=O)C
CO2C54O2,CC(CC(=O)C)O[O]
C65O,O=CC(C)([O])CC(=O)C
C6PAN5,O=N(=O)OOC(=O)C(C)CC(=O)C
CO2C54CO3H,CC(CC(=O)C)C(=O)OO
CO2C54CO2H,CC(=O)CC(C)C(=O)O
C65OOH,OOC(C)(C=O)CC(=O)C
C65OH,O=CC(C)(O)CC(=O)C
M2PECO2,CCC(O[O])C(C)C
M2PECO,CCC([O])C(C)C
M2PECNO3,CCC(ON(=O)=O)C(C)C
EIPK,CCC(=O)C(C)C
M2PECOOH,CCC(OO)C(C)C
M2PECOH,CCC(O)C(C)C
EIPKAO2,CCC(=O)C(C)(C)O[O]
EIPKBO2,CC(CO[O])C(=O)CC
EIPKAO,CCC(=O)C(C)(C)[O]
EIPKBO,[O]CC(C)C(=O)CC
EIPKBNO3,CCC(=O)C(C)CON(=O)=O
C66O2,OCC(C)C(=O)C(C)O[O]
C66O,OCC(C)C(=O)C(C)[O]
EIPKAOOH,CCC(=O)C(C)(C)OO
EIPKAOH,CCC(=O)C(C)(C)O
EIPKBOOH,CC(COO)C(=O)CC
EIPKBOH,OCC(C)C(=O)CC
CO3C54CHO,CC(C=O)C(=O)CC
