,name,smiles,inchi,synonyms
73,C42O2,[O]OC(CON(=O)=O)C(O)C=O,"InChI=1S/C4H6NO7/c6-1-3(7)4(12-10)2-11-5(8)9/h1,3-4,7H,2H2",
74,NC524OOH,OCC(ON(=O)=O)C(CO)(CO)OO,"InChI=1S/C5H11NO8/c7-1-4(13-6(10)11)5(2-8,3-9)14-12/h4,7-9,12H,1-3H2",
75,C51NO324CO,CC(=O)CC(=O)CON(=O)=O,"InChI=1S/C5H7NO5/c1-4(7)2-5(8)3-11-6(9)10/h2-3H2,1H3",
76,C62NO335CO,CC(=O)CC(=O)C(C)ON(=O)=O,"InChI=1S/C6H9NO5/c1-4(8)3-6(9)5(2)12-7(10)11/h5H,3H2,1-2H3",
77,C1011O,CC(=O)CCC1C([O])CC1(C)C,"InChI=1S/C10H17O2/c1-7(11)4-5-8-9(12)6-10(8,2)3/h8-9H,4-6H2,1-3H3",
78,C925OOH,OCC(CC(=O)C(=O)C)C(C)(CO)OO,"InChI=1S/C9H16O6/c1-6(12)8(13)3-7(4-10)9(2,5-11)15-14/h7,10-11,14H,3-5H2,1-2H3",
79,H14CO23C4,OCC(=O)C(=O)CO,"InChI=1S/C4H6O4/c5-1-3(7)4(8)2-6/h5-6H,1-2H2",
80,C624CO,CC(=C)C(=O)CCO,"InChI=1S/C6H10O2/c1-5(2)6(8)3-4-7/h7H,1,3-4H2,2H3",
81,T124CAT1O2,[O]Oc1c(C)c(C)cc(C)c1O,"InChI=1S/C9H11O3/c1-5-4-6(2)8(10)9(12-11)7(5)3/h4,10H,1-3H3",
82,CO24M3C5,CC(=O)C(C)C(=O)C,"InChI=1S/C6H10O2/c1-4(5(2)7)6(3)8/h4H,1-3H3","Methylacetylacetone;3-Methyl-2,4-pentanedione;1,1-Diacetylethane;815-57-6;3-Methylpentane-2,4-dione"
83,H3C2C4CO2H,OC(=O)CC(O)C(=O)C,"InChI=1S/C5H8O4/c1-3(6)4(7)2-5(8)9/h4,7H,2H2,1H3,(H,8,9)",AKOS006377453
84,CO2C4CHO,O=CCCC(=O)C,"InChI=1S/C5H8O2/c1-5(7)3-2-4-6/h4H,2-3H2,1H3","4-Oxopentanal;4-oxo-pentanal;Pentanal, 4-oxo-;AC1L4VAJ;AC1Q6QJK"
85,MIBKBOOH,OOC(C(C)C)C(=O)C,"InChI=1S/C6H12O3/c1-4(2)6(9-8)5(3)7/h4,6,8H,1-3H3",
86,NPETLQO2,CCC1=CC(=O)C(C)(O[O])C(ON(=O)=O)C1=O,"InChI=1S/C9H10NO7/c1-3-5-4-6(11)9(2,17-15)8(7(5)12)16-10(13)14/h4,8H,3H2,1-2H3",
87,HC4CO3,CC(=C)C(C(=O)O[O])O,"InChI=1S/C5H7O4/c1-3(2)4(6)5(7)9-8/h4,6H,1H2,2H3",
88,C6H5OOH,OOc1ccccc1,"InChI=1S/C6H6O2/c7-8-6-4-2-1-3-5-6/h1-5,7H",
89,C3MDIALO,O=CC(C)([O])C=O,"InChI=1S/C4H5O3/c1-4(7,2-5)3-6/h2-3H,1H3",
90,HEPTO2,CCCCC(CC)O[O],"InChI=1S/C7H15O2/c1-3-5-6-7(4-2)9-8/h7H,3-6H2,1-2H3",
91,PXYMUCNO3,O=CC1OC1(C)C(O)C(ON(=O)=O)C(=O)C,"InChI=1S/C8H11NO7/c1-4(11)6(16-9(13)14)7(12)8(2)5(3-10)15-8/h3,5-7,12H,1-2H3",
92,H13C43CO3,OCCC(C)(O)C(=O)O[O],"InChI=1S/C5H9O5/c1-5(8,2-3-6)4(7)10-9/h6,8H,2-3H2,1H3",
93,CHOC4PAN,O=CCCCCC(=O)OON(=O)=O,"InChI=1S/C6H9NO6/c8-5-3-1-2-4-6(9)12-13-7(10)11/h5H,1-4H2",
94,C624NO3,[O-][N+](=O)OC(CCO)C(=C)C,"InChI=1S/C6H11NO4/c1-5(2)6(3-4-8)11-7(9)10/h6,8H,1,3-4H2,2H3",
95,CO25C74OOH,OOC(CC(=O)C)C(=O)CC,"InChI=1S/C7H12O4/c1-3-6(9)7(11-10)4-5(2)8/h7,10H,3-4H2,1-2H3",
96,C514O,O=CCC([O])CC=O,"InChI=1S/C5H7O3/c6-3-1-5(8)2-4-7/h3-5H,1-2H2",
97,C1010OOH,O=CCCC(=C)C(=O)CC(C)(C)OO,"InChI=1S/C10H16O4/c1-8(5-4-6-11)9(12)7-10(2,3)14-13/h6,13H,1,4-5,7H2,2-3H3",
98,DIIPRETOH,CC(C)OC(C)(C)O,"InChI=1S/C6H14O2/c1-5(2)8-6(3,4)7/h5,7H,1-4H3",
99,ME2BUOLO,CC(O)C(C)(C)[O],"InChI=1S/C5H11O2/c1-4(6)5(2,3)7/h4,6H,1-3H3",
100,C4MCODBCO2,CC(=O)C=C(C)C(=O)[O],"InChI=1S/C6H7O3/c1-4(6(8)9)3-5(2)7/h3H,1-2H3",
101,C4MCODBCO3,CC(=CC(=O)C)C(=O)O[O],"InChI=1S/C6H7O4/c1-4(3-5(2)7)6(8)10-9/h3H,1-2H3",
102,C46PAN,[O-][N+](=O)OOC(=O)C(=C)CCO,"InChI=1S/C5H7NO6/c1-4(2-3-7)5(8)11-12-6(9)10/h7H,1-3H2",
103,TMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)O,"InChI=1S/C7H12O5/c1-4-6(2,9)7(3,12-10)5(8)11-4/h4,9-10H,1-3H3",
104,MIBKHO4O,[O]CC(=O)CC(C)(C)O,"InChI=1S/C6H11O3/c1-6(2,9)3-5(8)4-7/h9H,3-4H2,1-2H3",
105,CL2OHCH2O,[O]CC(O)(Cl)Cl,"InChI=1S/C2H3Cl2O2/c3-2(4,6)1-5/h6H,1H2",
106,H3C25CCO3H,OOC(=O)CC(=O)CC(O)C(=O)C,"InChI=1S/C7H10O6/c1-4(8)6(10)2-5(9)3-7(11)13-12/h6,10,12H,2-3H2,1H3",
107,ETBEAOH,CCOC(C)(C)CO,"InChI=1S/C6H14O2/c1-4-8-6(2,3)5-7/h7H,4-5H2,1-3H3",
108,C126NO3,O=CCC1C(CC1(C)C)C(=C)CCO[N+](=O)[O-],"InChI=1S/C12H19NO4/c1-9(5-7-17-13(15)16)10-8-12(2,3)11(10)4-6-14/h6,10-11H,1,4-5,7-8H2,2-3H3",
109,ETBEAO2,CCOC(C)(C)CO[O],"InChI=1S/C6H13O3/c1-4-8-6(2,3)5-9-7/h4-5H2,1-3H3",
110,HM22C4O,[O]CCC(C)(C)CO,"InChI=1S/C6H13O2/c1-6(2,5-8)3-4-7/h8H,3-5H2,1-2H3",
111,C823OOH,OOCC(CCC(=O)O)C(=C)C,"InChI=1S/C8H14O4/c1-6(2)7(5-12-11)3-4-8(9)10/h7,11H,1,3-5H2,2H3,(H,9,10)",
112,C616O2,O=CCCC(=O)C(O[O])C=O,"InChI=1S/C6H7O5/c7-3-1-2-5(9)6(4-8)11-10/h3-4,6H,1-2H2",
113,C88OOH,OOC1C(=O)CCC(=O)C1(C)C,"InChI=1S/C8H12O4/c1-8(2)6(10)4-3-5(9)7(8)12-11/h7,11H,3-4H2,1-2H3",
114,C1013CO2H,COC(=O)CCC1C(CC1(C)C)C(=O)O,"InChI=1S/C11H18O4/c1-11(2)6-7(10(13)14)8(11)4-5-9(12)15-3/h7-8H,4-6H2,1-3H3,(H,13,14)",
115,DIIPRETO2,[O]OC(C)(C)OC(C)C,"InChI=1S/C6H13O3/c1-5(2)8-6(3,4)9-7/h5H,1-4H3",
116,M2BKAOOH,OOC(C)C(C)C(=O)C,"InChI=1S/C6H12O3/c1-4(5(2)7)6(3)9-8/h4,6,8H,1-3H3",
117,MMALANHY,O=C1C=C(C)C(=O)O1,"InChI=1S/C5H4O3/c1-3-2-4(6)8-5(3)7/h2H,1H3","Citraconic anhydride;2,5-Furandione, 3-methyl-;2-Methylmaleic anhydride;616-02-4;3-methylfuran-2,5-dione"
118,C312COCO3H,OOC(=O)CC(=O)C=O,"InChI=1S/C4H4O5/c5-2-3(6)1-4(7)9-8/h2,8H,1H2",
119,MEK2OO,[O-][O+]=C(C)C(=O)C,InChI=1S/C4H6O3/c1-3(5)4(2)7-6/h1-2H3,
120,C7EDCOOH,OOC(C(=O)C)C(O)C(=O)CC,"InChI=1S/C7H12O5/c1-3-5(9)6(10)7(12-11)4(2)8/h6-7,10-11H,3H2,1-2H3",
121,NMXYQO2,[O]OC1(C)C(ON(=O)=O)C(=O)C=C(C)C1=O,"InChI=1S/C8H8NO7/c1-4-3-5(10)7(15-9(12)13)8(2,16-14)6(4)11/h3,7H,1-2H3",
122,PXYL1O2,[O]Oc1ccc(C)cc1,"InChI=1S/C7H7O2/c1-6-2-4-7(9-8)5-3-6/h2-5H,1H3",
123,C827OOH,OOC(C)(C)C(=O)CCC(=O)C,"InChI=1S/C8H14O4/c1-6(9)4-5-7(10)8(2,3)12-11/h11H,4-5H2,1-3H3",
124,NDNPBZLOOH,CCCC12OOC(C=C(N(=O)=O)C2(O)OO)(N(=O)=O)C1ON(=O)=O,"InChI=1S/C9H11N3O12/c1-2-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4-5(10(14)15)9(7,13)22-20/h4,6,13,20H,2-3H2,1H3",
125,CO23C5,CCC(=O)C(=O)C,"InChI=1S/C5H8O2/c1-3-5(7)4(2)6/h3H2,1-2H3","Acetylpropionyl;2,3-PENTANEDIONE;Acetyl propionyl;2,3-Pentadione;pentane-2,3-dione"
126,CO23C6,CCCC(=O)C(=O)C,"InChI=1S/C6H10O2/c1-3-4-6(8)5(2)7/h3-4H2,1-2H3","2,3-HEXANEDIONE;Acetylbutyryl;Acetyl butyryl;Methyl propyl diketone;Butyryl acetyl"
127,TOL1O,Cc1ccccc1[O],"InChI=1S/C7H7O/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",
128,CH3SOO2,CS(=O)O[O],InChI=1S/CH3O3S/c1-5(3)4-2/h1H3,
129,IPROPOLPER,OOC(=O)C(C)O,"InChI=1S/C3H6O4/c1-2(4)3(5)7-6/h2,4,6H,1H3",
130,NDNPETLOOH,CCC12OOC(N(=O)=O)(C(=C(N(=O)=O)C2(O)OO)C)C1ON(=O)=O,"InChI=1S/C9H11N3O12/c1-3-7-6(21-12(18)19)8(11(16)17,24-23-7)4(2)5(10(14)15)9(7,13)22-20/h6,13,20H,3H2,1-2H3",
131,C61O,CC(=O)CC([O])C(C)O,"InChI=1S/C6H11O3/c1-4(7)3-6(9)5(2)8/h5-6,8H,3H2,1-2H3",
132,C3NO3COOOH,OOCC(=O)CON(=O)=O,"InChI=1S/C3H5NO6/c5-3(2-10-8)1-9-4(6)7/h8H,1-2H2",
133,C1312O,O=CCCC(=C)C(=O)CC(C)(C)C([O])CCO,"InChI=1S/C13H21O4/c1-10(5-4-7-14)11(16)9-13(2,3)12(17)6-8-15/h7,12,15H,1,4-6,8-9H2,2-3H3",
134,PROL1MCO3,CC(O)(CC)C(=O)O[O],"InChI=1S/C5H9O4/c1-3-5(2,7)4(6)9-8/h7H,3H2,1-2H3",
135,CH3CHOHCHO,CC(O)C=O,"InChI=1S/C3H6O2/c1-3(5)2-4/h2-3,5H,1H3",lactaldehyde;2-Hydroxypropanal;lactald;598-35-6;2-Hydroxypropionaldehyde
136,C78O,CC(=O)C([O])CC(C)(C)O,"InChI=1S/C7H13O3/c1-5(8)6(9)4-7(2,3)10/h6,10H,4H2,1-3H3",
137,MNO3COC4O,CCC([O])CC(=O)CON(=O)=O,"InChI=1S/C6H10NO5/c1-2-5(8)3-6(9)4-12-7(10)11/h5H,2-4H2,1H3",
138,BZEMUCCO3H,OOC(=O)C1OC1C=CC=O,"InChI=1S/C6H6O5/c7-3-1-2-4-5(10-4)6(8)11-9/h1-5,9H",
139,MACRNB,O=CC(C)(O)CON(=O)=O,"InChI=1S/C4H7NO5/c1-4(7,2-6)3-10-5(8)9/h2,7H,3H2,1H3",
140,COHM2CO3H,CC(O)(C=O)C(=O)OO,"InChI=1S/C4H6O5/c1-4(7,2-5)3(6)9-8/h2,7-8H,1H3",
