name,PAN,Carb. Acid,Ester,Ether,Per. Acid,Hydroperoxide,Nitrate,Aldehyde,Ketone,Alcohol,Criegee,Alkoxy rad,Peroxalkyl rad,Peroxyacyl rad,Aromatic rings,Carbons,HydroCarbon,Atoms,nogroups
DM124O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,9,0
PTCATEC1O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,9,0,11,0
DMMBO2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,7,0
MTBKNO3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,11,0
NISOPNO3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,13,0
HNC524CO,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,5,0,13,0
C720O,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0,9,0
C139NO3,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,13,0,21,0
H3M3C5CHO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,9,0
C5ONO34OOH,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,0,12,0
IPECO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,6,0
IPROACET,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,5,0,7,0
HODMSO2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,6,0
NMXYOL1O2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,13,0
METLOBPROH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,13,0
DMMBOH,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,6,0
NPHENOOH,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,6,0,15,0
SBUACONEO,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,10,0
HO1C3O2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,6,0
C57NO3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,12,0
C1313NO3,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,13,0,20,0
HEXBOH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,7,0
M3HEXAO2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,9,0
ETOHOCHO,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0,6,0
