,source,target,flux
3079,C89O2,C89NO3,[22.78527547 20.84650764]
3080,C58NO3CO3,C58NO3CO3H,[17.156856 16.70430134]
3081,C5CO2OHCO3,C5CO2OHPAN,[21.93199394 20.48062782]
3082,OCCOHCO2,OCCOHCOOH,[20.00934877 20.87887917]
3083,C924O2,C924OOH,[20.68281041 21.9139045 ]
3084,C58NO3CO3,C58NO3PAN,[21.74885297 20.60452731]
3085,OETLMUCCO3,OETLMUCPAN,[24.65168584 24.5053203 ]
3086,C614OH,C614O,[18.35012629 -inf]
3087,C614OOH,C614O,[20.31130667 -inf]
3088,C614NO3,C614O,[22.91715448 -inf]
3089,C614O2,C614O,[24.24518499 22.69449039]
3090,C74O2,C74OOH,[14.60633271 17.69048524]
3091,C58OH,C58O,[17.3847471 17.57092877]
3092,C58OOH,C58O,[18.4480197 -inf]
3093,C58O2,C58O,[23.82436689 20.95798867]
3094,OTNCATCOOH,OTNCATECO,[18.95512313 -inf]
3095,OTNCATECO2,OTNCATECO,[24.2105461 17.3444505]
3096,OTNNCATOOH,OTNNCATCO,[19.12523694 -inf]
3097,OTNNCATCO2,OTNNCATCO,[24.46725558 20.33107752]
3098,BUT2CO3,C5PAN4,[23.43858627 23.15274868]
3099,C7ADCOH,C7ADCO,[17.77895581 18.6720299 ]
3100,C7ADCOOH,C7ADCO,[18.7335807 -inf]
3101,C7ADCO2,C7ADCO,[23.61403024 22.03371514]
3102,OXNCATCOOH,OXNCATECO,[17.88180306 -inf]
3103,OXNCATECO2,OXNCATECO,[23.15766243 16.27936831]
3104,OXNNCATOOH,OXNNCATCO,[18.05197596 -inf]
3105,OXNNCATCO2,OXNNCATCO,[23.41437196 19.27743095]
3106,HOBUT2CO3,C5PAN5,[24.16494159 23.7752185 ]
3107,C617CO3,C617PAN,[22.78226262 21.62583238]
3108,BUTDBOOH,BUTDBO,[19.75107818 -inf]
3109,BUTDBO2,BUTDBO,[25.3032965 23.84500505]
3110,CO25C6CO3,C627PAN,[23.88688583 24.1752912 ]
3111,C7BDCO2,C7BDCOOH,[21.58915601 22.32697631]
3112,C4CO2DBCO3,C4CO2DBPAN,[20.65242419 20.72709118]
3113,C4CO2DBCO3,C4CO2DCO3H,[16.19583139 16.96226939]
3114,C715CO2OH,C7CO2DBAL,[17.81308142 17.67877765]
3115,C715CO2OOH,C7CO2DBAL,[20.25640539 19.59435028]
3116,C715CO2O2,C7CO2DBAL,[18.3556949 18.85732318]
3117,CH3CO3,PAN,[27.43305372 26.64529425]
3118,BUTDCOOH,BUTDCO,[19.15538352 -inf]
3119,BUTDCO2,BUTDCO,[24.62649075 23.16585484]
