HEXBO2+NO --> HEXBNO3  6 r:6 p:0 
HC4CCO3+NO --> HOCH2CHO+NO2+CH3CO3  1 r:5 p:4 
HC4CCO3+NO3 --> HOCH2CHO+NO2+CH3CO3  1 r:5 p:4 
HC4CCO3 --> HOCH2CHO+CH3CO3  1 r:5 p:4 
NC41OO+CO --> HMVKANO3  1 r:5 p:4 
HC4CO3H --> HO2+MACR+OH  1 r:5 p:4 
CO2C3CO3H --> CH3COCH2O2+OH  1 r:4 p:3 
CO2C3CO2H+OH --> CH3COCH2O2  1 r:4 p:3 
GLYOOB --> HCHO  1 r:2 p:1 
GLYOOB --> CO+HO2  1 r:2 p:1 
GLYOOB --> CO+HO2+OH  1 r:2 p:1 
PERPINONIC --> C96O2+OH  1 r:10 p:9 
HO2+C89CO3 --> C89CO2H+O3  9 r:9 p:0 
C89CO3 --> C89CO2H  9 r:9 p:0 
C920CO3+HO2 --> C920O2+OH  1 r:10 p:9 
C920CO3+NO --> C920O2+NO2  1 r:10 p:9 
C920CO3+NO3 --> C920O2+NO2  1 r:10 p:9 
C920CO3 --> C920O2  1 r:10 p:9 
C85CO3+HO2 --> C85O2+OH  1 r:9 p:8 
C85CO3+NO --> C85O2+NO2  1 r:9 p:8 
C85CO3+NO3 --> C85O2+NO2  1 r:9 p:8 
C85CO3 --> C85O2  1 r:9 p:8 
NC91CO3H --> NOPINONE+NO2+OH  1 r:10 p:9 
C918CO3H --> NOPINONE+HO2+OH  1 r:10 p:9 
C729CO3+HO2 --> C729O2+OH  1 r:8 p:7 
C729CO3+NO --> C729O2+NO2  1 r:8 p:7 
C729CO3+NO3 --> C729O2+NO2  1 r:8 p:7 
C729CO3 --> C729O2  1 r:8 p:7 
C822CO3+HO2 --> C822CO3H  9 r:9 p:0 
HO2+C816CO3 --> C816O2+OH  1 r:9 p:8 
C816CO3+NO --> C816O2+NO2  1 r:9 p:8 
C816CO3+NO3 --> C816O2+NO2  1 r:9 p:8 
C816CO3 --> C816O2  1 r:9 p:8 
C923CO3H --> C923O2+OH  1 r:10 p:9 
HO2+HOC2H4CO3 --> HOCH2CH2O2+OH  1 r:3 p:2 
HOC2H4CO3+NO --> HOCH2CH2O2+NO2  1 r:3 p:2 
HOC2H4CO3+NO3 --> HOCH2CH2O2+NO2  1 r:3 p:2 
HOC2H4CO3 --> HOCH2CH2O2  1 r:3 p:2 
HO2+HOC3H6CO3 --> HO1C3O2+OH  1 r:4 p:3 
HOC3H6CO3+NO --> HO1C3O2+NO2  1 r:4 p:3 
HOC3H6CO3+NO3 --> HO1C3O2+NO2  1 r:4 p:3 
HOC3H6CO3 --> HO1C3O2  1 r:4 p:3 
HO2+HO2C3CO3 --> IPROPOLO2+OH  1 r:4 p:3 
HO2C3CO3+NO --> IPROPOLO2+NO2  1 r:4 p:3 
HO2C3CO3+NO3 --> IPROPOLO2+NO2  1 r:4 p:3 
HO2C3CO3 --> IPROPOLO2  1 r:4 p:3 
HO2+HOIPRCO3 --> HYPROPO2+OH  1 r:4 p:3 
HOIPRCO3+NO --> HYPROPO2+NO2  1 r:4 p:3 
HOIPRCO3+NO3 --> HYPROPO2+NO2  1 r:4 p:3 
HOIPRCO3 --> HYPROPO2  1 r:4 p:3 
HO2+IBUDIALCO3 --> PROPALO2+OH  1 r:4 p:3 
IBUDIALCO3+NO --> PROPALO2+NO2  1 r:4 p:3 
IBUDIALCO3+NO3 --> PROPALO2+NO2  1 r:4 p:3 
IBUDIALCO3 --> PROPALO2  1 r:4 p:3 
HO2+IPRHOCO3 --> CH3COCH3+HO2+OH  1 r:4 p:3 
IPRHOCO3+NO --> CH3COCH3+HO2+NO2  1 r:4 p:3 
IPRHOCO3+NO3 --> CH3COCH3+HO2+NO2  1 r:4 p:3 
IPRHOCO3 --> CH3COCH3+HO2  1 r:4 p:3 
HO2+CO3C4CO3 --> MEKCO2+OH  1 r:5 p:4 
CO3C4CO3+NO --> MEKCO2+NO2  1 r:5 p:4 
CO3C4CO3+NO3 --> MEKCO2+NO2  1 r:5 p:4 
CO3C4CO3 --> MEKCO2  1 r:5 p:4 
HO2+HO3C4CO3 --> HO3C4O2+OH  1 r:5 p:4 
HO3C4CO3+NO --> HO3C4O2+NO2  1 r:5 p:4 
HO3C4CO3+NO3 --> HO3C4O2+NO2  1 r:5 p:4 
HO3C4CO3 --> HO3C4O2  1 r:5 p:4 
HO2+HO2C4CO3 --> HO2C4O2+OH  1 r:5 p:4 
HO2C4CO3+NO --> HO2C4O2+NO2  1 r:5 p:4 
HO2C4CO3+NO3 --> HO2C4O2+NO2  1 r:5 p:4 
HO2C4CO3 --> HO2C4O2  1 r:5 p:4 
HO2+HOIBUTCO3 --> IBUTOLCO2+OH  1 r:5 p:4 
HOIBUTCO3+NO --> IBUTOLCO2+NO2  1 r:5 p:4 
HOIBUTCO3+NO3 --> IBUTOLCO2+NO2  1 r:5 p:4 
HOIBUTCO3 --> SC4H9O2  1 r:5 p:4 
C56O2+NO --> C56NO3  1 r:5 p:4 
HO2+HO2C43CO3 --> BUT2OLO2+OH  1 r:5 p:4 
HO2C43CO3+NO --> BUT2OLO2+NO2  1 r:5 p:4 
HO2C43CO3+NO3 --> BUT2OLO2+NO2  1 r:5 p:4 
HO2C43CO3 --> BUT2OLO2  1 r:5 p:4 
C41CO3+HO2 --> MEKBO2+OH  1 r:5 p:4 
C41CO3+NO --> MEKBO2+NO2  1 r:5 p:4 
C41CO3+NO3 --> MEKBO2+NO2  1 r:5 p:4 
C41CO3 --> MEKBO2  1 r:5 p:4 
H2M2C3CO3+HO2 --> OH+TBUTOLO2  1 r:5 p:4 
H2M2C3CO3+NO --> NO2+TBUTOLO2  1 r:5 p:4 
H2M2C3CO3+NO3 --> NO2+TBUTOLO2  1 r:5 p:4 
H2M2C3CO3 --> TBUTOLO2  1 r:5 p:4 
HO2+PROL1MCO3 --> HO2+MEK+OH  1 r:5 p:4 
NO+PROL1MCO3 --> HO2+MEK+NO2  1 r:5 p:4 
NO3+PROL1MCO3 --> HO2+MEK+NO2  1 r:5 p:4 
PROL1MCO3 --> HO2+MEK  1 r:5 p:4 
CO+C2H5CHOO --> C2H5CHO  1 r:4 p:3 
HO2+HO3C5CO3 --> HO3C5O2+OH  1 r:6 p:5 
HO3C5CO3+NO --> HO3C5O2+NO2  1 r:6 p:5 
HO3C5CO3+NO3 --> HO3C5O2+NO2  1 r:6 p:5 
HO3C5CO3 --> HO3C5O2  1 r:6 p:5 
C3COCCO3+HO2 --> PEN2ONE1O2+OH  1 r:6 p:5 
C3COCCO3+NO --> PEN2ONE1O2+NO2  1 r:6 p:5 
C3COCCO3+NO3 --> PEN2ONE1O2+NO2  1 r:6 p:5 
C3COCCO3 --> PEN2ONE1O2  1 r:6 p:5 
