,source,target,flux
2014,C3DIALO2,C3DIALO,[11.00477065 13.47143639]
2015,HO3C106O2,HO3C106NO3,[8.18162252 8.16886006]
2016,HO3C106OOH,HO3C106O,[ -inf 14.79055252]
2017,HO3C106NO3,HO3C106O,[ -inf 14.31986127]
2018,HO3C106O2,HO3C106O,[10.46815364 12.92492726]
2019,APINAO2,APINAOOH,[9.32985303 9.28376638]
2020,HO3C116O2,HO3C116NO3,[8.19443452 8.18167206]
2021,HO3C116OOH,HO3C116O,[ -inf 14.79055252]
2022,HO3C116NO3,HO3C116O,[ -inf 14.31986127]
2023,HO3C116O2,HO3C116O,[10.46808641 12.92492703]
2024,HO3C126O2,HO3C126NO3,[8.20441872 8.19165626]
2025,HO3C126OOH,HO3C126O,[ -inf 14.79055252]
2026,HO3C126NO3,HO3C126O,[ -inf 14.31986127]
2027,HO3C126O2,HO3C126O,[10.46803262 12.92492685]
2028,C5M2OHOCO3,C5M2OHCO3H,[8.90027875 8.8655365 ]
2029,HO3C3CO3,HO3C3CO3H,[8.90027875 8.8655365 ]
2030,BU1ENO3O2,HO3C4NO3,[ 9.97618327 12.44775613]
2031,HO3C4O2,HO3C4NO3,[7.189355 7.17659254]
2032,HO3C4OOH,HO3C4O,[ -inf 14.79055252]
2033,HO3C4O2,HO3C4O,[11.3585383 13.82797447]
2034,HO3C5O2,HO3C5NO3,[7.67490941 7.66214695]
2035,HO3C5O2,HO3C5OOH,[9.21771153 9.17162488]
2036,HO3C76O2,HO3C76NO3,[8.00422904 7.99146658]
2037,HO3C76OOH,HO3C76O,[ -inf 14.79055252]
2038,HO3C76NO3,HO3C76O,[ -inf 14.31986127]
2039,HO3C76O2,HO3C76O,[10.46890587 12.92492981]
2040,HO3C86O2,HO3C86NO3,[8.09878513 8.08602267]
2041,HO3C86OOH,HO3C86O,[ -inf 14.79055252]
2042,HO3C86NO3,HO3C86O,[ -inf 14.31986127]
2043,HO3C86O2,HO3C86O,[10.46854335 12.92492858]
2044,HO3C96O2,HO3C96NO3,[8.15480572 8.14204327]
2045,HO3C96OOH,HO3C96O,[ -inf 14.79055252]
2046,HO3C96NO3,HO3C96O,[ -inf 14.31986127]
2047,HO3C96O2,HO3C96O,[10.46828806 12.92492771]
2048,HO5C5CO3,HO5C5CO3H,[8.90027875 8.8655365 ]
2049,HO5C6OOH,HO5C6O,[ -inf 14.79055252]
2050,HO5C6O2,HO5C6O,[11.35850023 13.82797434]
2051,C6DIALO2,C6DIALOOH,[9.25539756 9.20931091]
2052,C6DICAROOH,C6DICARBO,[ -inf 15.31834378]
2053,C6DICARBO2,C6DICARBO,[11.00477065 13.47143639]
2054,C6EO2OHCO3,C6EO2HCO3H,[8.90027875 8.8655365 ]
2055,HOC4CHOOOH,HOC4CHOO,[ -inf 14.79055252]
2056,HOC4CHOO2,HOC4CHOO,[11.22465669 13.69327859]
2057,PENT1ENE,C3H7CHOOA,[2.69897 2.69897]
2058,HYETHO2H,HOCH2CH2O,[ -inf 14.79055252]
2059,HOCH2CH2O2,HOCH2CH2O,[11.31140619 13.75637852]
2060,GAOO,HOCH2CO2H,[20.46796353 20.51938291]
2061,HOCH2CO3,HOCH2CO2H,[11.75449729 14.2259079 ]
2062,HOCH2CO3,HOCH2CO3H,[8.76487457 8.73013233]
2063,HOCO3C54O2,HOCO3C5OOH,[9.21771153 9.17162488]
2064,C823O2,C823NO3,[8.09878513 8.08602267]
2065,C53OH,HOIPRGLYOX,[9.23552845 9.23552845]
2066,C53OOH,HOIPRGLYOX,[9.5132176 9.5132176]
2067,C53O2,HOIPRGLYOX,[10.87927325 13.35084611]
2068,HPC52CO3,HPC52CO3H,[8.90027875 8.8655365 ]
2069,HPC52OOH,HPC52O,[ -inf 15.09158252]
2070,HPC52O2,HPC52O,[10.26852716 12.71266766]
2071,NC524OOH,HPNC524CO,[8.9827053 8.9827053]
2072,C615CO2OOH,C615CO2O,[ -inf 14.79055252]
2073,C615CO2O2,C615CO2O,[11.00477065 13.47143639]
2074,HYPROPO2H,HYPROPO,[ -inf 14.79055252]
2075,HYPROPO2,HYPROPO,[11.00468076 13.47143609]
2076,IBUTALBO2,IBUALANO3,[7.47741999 7.46465754]
2077,IBUTALBO2,IBUTALBO2H,[9.16478687 9.11870022]
2078,IBUTOLCO2,IBUTOLCNO3,[7.57168992 7.55892747]
2079,IBUTOLCO2,IBUTOLCO2H,[9.16478687 9.11870022]
2080,BPINBO2,BPINBNO3,[8.33911729 8.32635483]
2081,NBPINAO2,BPINBNO3,[ 9.71812235 12.18969522]
2082,IC3H7O2,IC3H7NO3,[7.58215535 7.56939289]
2083,C824OH,C824CO,[9.97034688 9.97034688]
2084,C824OOH,C824CO,[10.00860017 10.00860017]
2085,C824O2,C824CO,[11.52272593 13.99429879]
2086,IC3H7O2,IC3H7OOH,[9.08491018 9.03882353]
2087,IC4CHOAO2,IC4CHOAOOH,[9.21771153 9.17162488]
2088,IC4H9O2,IC4H9NO3,[7.47741999 7.46465754]
2089,IC4H9O2,IC4H9OOH,[9.16478687 9.11870022]
2090,C6H5C2OOH,C6H5C2H4O,[ -inf 14.79055252]
2091,C6H5C2NO3,C6H5C2H4O,[ -inf 14.38560304]
2092,C6H5C2H4O2,C6H5C2H4O,[11.1723812 13.64089091]
2093,C52NO31O2,C52NO31OOH,[9.21771153 9.17162488]
2094,C6H5C2H4O2,C6H5C2NO3,[7.95890606 7.94614361]
2095,C114O2,C114OOH,[9.33832275 9.2922361 ]
2096,INAHCO3,INAHCO3H,[8.76487457 8.73013233]
2097,INAHPCO3,INAHPPAN,[8.95632115 8.94097822]
2098,INANO3,INANCHO,[7.81954395 7.81954395]
2099,C6H5CH2O2,C6H5CH2NO3,[7.98009534 7.96733288]
2100,C6H5CH2OOH,C6H5CH2O,[ -inf 14.79055252]
2101,C6H5CH2NO3,C6H5CH2O,[ -inf 14.38560304]
2102,C6H5CH2O2,C6H5CH2O,[11.50873136 13.94371609]
2103,INANCO3,INANCO3H,[8.76487457 8.73013233]
2104,INAOOH,INAO,[ -inf 14.79055252]
2105,INAO2,INAO,[11.08712303 13.55497846]
2106,INANCO,INB1GLYOX,[7.72623804 7.72623804]
2107,INB1CO,INB1GLYOX,[8.51454775 8.51454775]
2108,INB1HPCO3,INB1HPPAN,[8.95632115 8.94097822]
2109,INB1NACO3,INB1NACO3H,[8.76487457 8.73013233]
2110,INB1NO3,INB1NBCHO,[7.91115761 7.91115761]
2111,INB1NBCO3,INB1NBCO3H,[8.76487457 8.73013233]
2112,INB1OOH,INB1O,[ -inf 14.79055252]
2113,INB1O2,INB1O,[11.64373336 14.11427752]
2114,INB1O2,INB1OH,[10.73961126 13.21118412]
2115,INB2O2,INB1OH,[10.52272593 12.99429879]
2116,C3M3OH2CO3,C3M3OHCO3H,[8.90027875 8.8655365 ]
2117,INCNCHO,INCGLYOX,[7.93389203 7.93389203]
2118,INCCO,INCGLYOX,[8.51851394 8.51851394]
2119,INCNCO3,INCNCO3H,[8.76487457 8.73013233]
2120,INCOOH,INCO,[ -inf 14.79055252]
2121,INCO2,INCO,[11.64373336 14.11427752]
2122,INDHCO3,INDHCO3H,[8.90027875 8.8655365 ]
