,0,1,pr  0,dg  0,cl  0,bt  0,ev  0,pr  1,dg  1,cl  1,bt  1,ev  1
NC101CO,0.6329880929369516,0.6025830036866464,0.0001192048002769446,0.0012511729746637473,0.012935731011177332,6.655175397147591e-06,2.3415425581911914e-08,0.00011872739142494622,0.0012480499219968799,0.010438644340121293,6.232459036189163e-06,6.3936119963522464e-09
C3H8,0.7901970872292681,0.7903762159619876,5.848346466912794e-05,0.0009383797309978105,0.01688829782301797,2.5446258871446675e-06,1.0049820696094714e-11,5.848941546892581e-05,0.0009360374414976599,0.013940929530884971,2.5319364834518473e-06,4.516986471527028e-12
DMKOHO,0.0,0.0,9.316522740882145e-05,0.0009383797309978105,0.019293283469202328,4.110549510002924e-06,2.2698258928347313e-07,9.061785374398686e-05,0.0009360374414976599,0.015622570533989964,4.090051242499138e-06,4.5624797111668607e-07
NCATECHOL,0.5005154561784122,0.637304653030743,0.00013921853782243647,0.0009383797309978105,0.019451238398922283,0.0001060913254486469,1.0800522440414429e-08,0.00013096742817551442,0.0009360374414976599,0.014838521412713466,0.00010517274623569212,6.673655983527797e-08
DNCRES,0.5689829339640561,0.6461772719983979,0.00040411380350332973,0.0009383797309978105,0.01993588632837285,0.00045793478945961146,8.598325319892992e-07,0.0003783361497893583,0.0009360374414976599,0.014927343387963313,0.00045565118484889206,1.2393203532675154e-06
NON3ONE,0.5933799472647839,0.6755292733693602,0.000221196639571628,0.0015639662183296842,0.017030469545169593,0.00019378304832870928,1.7613305496115439e-10,0.00022038321290705063,0.0015600624024961,0.012876690895050537,0.00019223240839745949,1.0634113434826664e-10
DNEBNZOL,0.5134855676883798,0.563877372299597,0.0001866990300877489,0.0009383797309978105,0.020699754552514268,0.00024643723014731815,1.0929793004991698e-07,0.00017735622098303627,0.0009360374414976599,0.015360750175313739,0.0002452083102050674,7.989694973373369e-08
DNMETOL,0.48729056940785154,0.5392108479948832,0.00018706681844681043,0.0009383797309978105,0.016923564457115466,0.0002450670469773172,7.562312065893403e-08,0.0001773547125168747,0.0009360374414976599,0.012875377070639245,0.000243844959790901,6.723697559680896e-08
ACO2H,0.5112723550113308,0.4822879678621721,0.00015622054866098133,0.0012511729746637473,0.026144899128348057,2.994828928716416e-05,0.009400170718842074,0.0001579640752738286,0.0012480499219968799,0.021025182241201597,2.970156259433898e-05,0.00944057774415832
DNMXYOL,0.5358374580289389,0.5880174091977882,0.00018654647614313143,0.0009383797309978105,0.01646793388554174,0.0002443819553923167,1.3367493295573136e-07,0.00017729388241016273,0.0009360374414976599,0.01266851626159134,0.00024316328458381782,9.398198959065349e-08
DNOETOL,0.45407924828050533,0.5059766576993493,0.0001874075959217567,0.0009383797309978105,0.0171460051023511,0.0002450670469773172,5.206637738273954e-08,0.00017742610264145703,0.0009360374414976599,0.01296241168656526,0.000243844959790901,5.3484274389799684e-08
DNOXYOL,0.5250801734231646,0.5835652624586815,0.00024777051622439225,0.0009383797309978105,0.016535753089509598,0.0002913596640780644,3.59667120238664e-07,0.00023200875831842047,0.0009360374414976599,0.012680127087402215,0.0002899067273552365,4.176346310568194e-07
